acadèmico_inta_corresponding,anio,coautor_inta,doi,if,if2022,if2023,if_2023,if_5y,nombre_primer_autor,primer_autor_inta,"prmer_autor_inta_(si,_no)",q,revista,tipo_documento,titulo,titulo_revista,disciplina_final
0,2023,"Corvalan, Camila",10.1016/j.canep.2023.102413,,,2.4,,2.7,Luz Myriam Reynales-Shigematsu ,No,,Q2,CANCER EPIDEMIOLOGY,Article,"Latin America and the Caribbean Code Against Cancer 1st edition: Tobacco and nicotine-related products, secondhand smoke, and alcohol and cancer",,"public, environmental & occupational health"
0,2015,"Latorre, Mauricio",10.1016/j.jnutbio.2015.04.009,4668,,,,4508,"Tallino, Savannah",No,,Q1,,Article,"Nutrigenomics analysis reveals that copper deficiency and dietary sucrose up-regulate inflammation, fibrosis and lipogenic pathways in a mature rat model of nonalcoholic fatty liver disease",JOURNAL OF NUTRITIONAL BIOCHEMISTRY,biochemistry & molecular biology
0,2019,"Pacheco, Igor",10.1080/14620316.2018.1543559,1160,,,,1191,"Alfonso Salazar, Juan",No,,	Q2,,Article,Development and applicability of GBS approach for genomic studies in Japanese plum (Prunus salicina Lindl.),JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY,horticulture
0,2020,"Romero, Jaime",10.1007/s12602-019-09550-9,4609,,,,4585,Carolina Ramírez ,No,,Q2,PROBIOTICS AND ANTIMICROBIAL PROTEINS,Article,Partial Evaluation of Autochthonous Probiotic Potential of the Gut Microbiota of Seriola lalandi,,biotechnology & applied microbiology
0,2024,"Angel, Barbara,Cecilia Albala",10.1002/alz.13522,,,,13.0,16,Maria Carolina Dalmasso,,No,Q1,,Article,The first genome-wide association study in the Argentinian and Chilean populations identifies shared genetics with Europeans in Alzheimer's disease,ALZHEIMERS & DEMENTIA,clinical neurology
0,2020,"Algarin, Cecilia; Peirano, Patricio; Uauy, Ricardo",10.1186/s12887-020-02087-9,2125,,,,2782,Rosario Toro-Campos,No,,Q3,BMC PEDIATRICS,Article,Effect of feeding mode on infant growth and cognitive function: study protocol of the Chilean infant Nutrition randomized controlled Trial (ChiNuT),,pediatrics
"Valenzuela, Rodrigo",2017,"Angel Rincon-Cervera, Miguel; Valenzuela, Alfonso",10.1002/mnfr.201700479,5151,,,,5232,"Hernandez-Rodas, Maria C.",No,,	Q1,,Article,Supplementation with Docosahexaenoic Acid and Extra Virgin Olive Oil Prevents Liver Steatosis Induced by a High-Fat Diet in Mice through PPAR-alpha and Nrf2 Upregulation with Concomitant SREBP-1c and NF-kB Downregulation,MOLECULAR NUTRITION & FOOD RESEARCH,food science & technology
0,2025,"Cabello, Juan",10.3390/ijns11020045,4,,,,3.9,Dianne Webster ,No,,Q1 ,,Article,ISNS General Guidelines for Neonatal Bloodspot Screening 2025,INTERNATIONAL JOURNAL OF NEONATAL SCREENING,pediatrics
0,2017,"Valladares, Luis",10.3856/vol45-issue5-fulltext-8,0.482,,,,0.738,"Ortiz Tirado, Juan",No,,	Q4,,Article,"Levels of 17 beta-estradiol, vitellogenin, and prostaglandins during the reproductive cycle of Oreochromis niloticus",LATIN AMERICAN JOURNAL OF AQUATIC RESEARCH,fisheries
0,2018,"Latorre, Mauricio",10.3389/fmicb.2018.00959,4259,,,,4840,"Figueroa, Maximiliano",No,,Q1,,Article,Synthesis and Antibacterial Activity of Metal(loid) Nanostructures by Environmental Multi-Metal(loid) Resistant Bacteria and Metal(loid)-Reducing Flavoproteins,FRONTIERS IN MICROBIOLOGY,microbiology
"Speisky, Hernan",2017,0,10.1016/j.foodchem.2017.05.023,5399,,,,5488,"Atala, Elias",No,,Q1,,Article,Quercetin and related flavonoids conserve their antioxidant properties despite undergoing chemical or enzymatic oxidation,FOOD CHEMISTRY,nutrition & dietetics
